R: [53, 65, 58] L: [55, 84, 71]
R: [56, 69, 57] L: [53, 82, 68]
R: [57, 68, 59] L: [55, 83, 70]
R: [56, 69, 57] L: [54, 83, 69]
R: [54, 69, 56] L: [56, 83, 70]
R: [56, 69, 57] L: [56, 84, 71]
R: [55, 69, 57] L: [54, 83, 70]
R: [55, 69, 58] L: [55, 82, 70]
R: [53, 67, 56] L: [57, 85, 73]
R: [53, 67, 56] L: [57, 85, 72]
R: [54, 68, 57] L: [56, 84, 71]
R: [53, 66, 56] L: [55, 84, 70]
R: [55, 67, 56] L: [55, 84, 71]
R: [55, 68, 56] L: [55, 83, 71]
R: [55, 68, 56] L: [54, 82, 69]
R: [55, 68, 57] L: [56, 83, 72]
R: [55, 69, 56] L: [53, 84, 70]
R: [55, 69, 57] L: [55, 83, 71]
R: [57, 69, 59] L: [56, 82, 72]
R: [54, 67, 57] L: [57, 85, 71]
R: [53, 66, 56] L: [55, 83, 70]
R: [57, 69, 60] L: [53, 82, 69]
R: [53, 67, 54] L: [55, 83, 70]
R: [55, 68, 57] L: [56, 84, 70]
R: [54, 68, 55] L: [56, 84, 71]
R: [53, 68, 57] L: [55, 83, 69]
R: [56, 70, 58] L: [55, 83, 70]
R: [54, 66, 56] L: [56, 85, 72]
R: [55, 70, 59] L: [56, 84, 72]
R: [54, 67, 57] L: [53, 82, 70]
R: [54, 67, 57] L: [54, 84, 71]
R: [57, 68, 57] L: [54, 83, 69]
R: [55, 67, 56] L: [55, 82, 70]
R: [56, 68, 58] L: [53, 83, 70]
R: [54, 68, 55] L: [56, 83, 70]
R: [53, 68, 56] L: [56, 84, 71]
R: [56, 69, 56] L: [56, 85, 73]
R: [54, 68, 57] L: [55, 83, 70]
R: [53, 67, 56] L: [56, 83, 71]
R: [55, 69, 57] L: [55, 83, 70]
R: [54, 68, 56] L: [56, 84, 71]
R: [55, 68, 58] L: [56, 84, 72]
R: [54, 68, 56] L: [56, 85, 70]
R: [57, 70, 60] L: [57, 84, 71]
R: [55, 69, 57] L: [55, 83, 69]
R: [56, 67, 58] L: [57, 85, 72]
R: [55, 70, 56] L: [55, 84, 70]
R: [53, 68, 57] L: [55, 84, 71]
R: [53, 66, 56] L: [58, 82, 74]
R: [54, 67, 57] L: [56, 84, 72]
R: [53, 66, 56] L: [55, 83, 73]
R: [54, 67, 57] L: [55, 83, 71]
R: [55, 67, 57] L: [55, 83, 71]
R: [55, 67, 55] L: [57, 84, 71]
R: [55, 68, 58] L: [55, 82, 72]
R: [56, 68, 58] L: [55, 83, 70]
R: [51, 65, 55] L: [56, 83, 72]
R: [55, 67, 56] L: [56, 84, 71]
R: [55, 70, 57] L: [56, 84, 72]
R: [52, 68, 56] L: [54, 83, 70]
R: [53, 66, 56] L: [58, 84, 71]
R: [54, 68, 58] L: [57, 83, 72]
R: [51, 66, 54] L: [55, 83, 70]
R: [56, 68, 55] L: [56, 83, 70]
R: [54, 66, 56] L: [54, 83, 69]
R: [55, 68, 57] L: [56, 84, 70]
R: [56, 69, 57] L: [56, 84, 71]
R: [55, 68, 57] L: [56, 87, 70]
R: [54, 69, 56] L: [55, 83, 69]
R: [55, 69, 57] L: [56, 85, 72]
R: [52, 65, 53] L: [57, 83, 69]
R: [53, 66, 55] L: [55, 83, 69]
R: [56, 68, 56] L: [56, 84, 71]
R: [55, 68, 56] L: [56, 84, 71]
R: [52, 68, 55] L: [53, 85, 69]
R: [55, 68, 56] L: [56, 85, 71]
R: [54, 68, 57] L: [54, 82, 69]
R: [52, 66, 55] L: [55, 82, 71]
R: [56, 69, 57] L: [56, 85, 72]
R: [56, 69, 58] L: [56, 85, 71]
R: [52, 66, 55] L: [54, 81, 70]
R: [55, 67, 56] L: [57, 84, 71]
R: [55, 68, 59] L: [57, 85, 72]
R: [55, 67, 56] L: [56, 85, 71]
R: [58, 68, 57] L: [56, 85, 72]
R: [55, 68, 57] L: [55, 84, 71]
R: [52, 66, 55] L: [56, 85, 73]
R: [56, 67, 56] L: [56, 84, 72]
R: [54, 68, 56] L: [55, 82, 71]
R: [56, 69, 58] L: [56, 83, 71]
R: [54, 68, 59] L: [55, 83, 71]
R: [55, 69, 58] L: [57, 84, 71]
R: [53, 67, 57] L: [54, 83, 70]
R: [54, 66, 55] L: [55, 82, 71]
R: [55, 68, 56] L: [55, 83, 70]
R: [54, 66, 54] L: [57, 82, 72]
R: [54, 67, 57] L: [55, 82, 69]
R: [52, 68, 55] L: [54, 85, 70]
R: [54, 67, 56] L: [55, 83, 70]
R: [54, 67, 56] L: [53, 84, 69]
R: [55, 67, 55] L: [54, 84, 71]
R: [54, 66, 55] L: [55, 83, 72]
R: [55, 69, 59] L: [55, 81, 69]
R: [53, 67, 56] L: [56, 84, 67]
R: [53, 67, 56] L: [57, 84, 71]
R: [53, 68, 57] L: [56, 85, 71]
R: [52, 66, 57] L: [57, 85, 72]
R: [54, 68, 56] L: [54, 83, 69]
R: [55, 68, 55] L: [54, 83, 70]
R: [52, 67, 55] L: [55, 83, 70]
R: [54, 68, 57] L: [58, 81, 71]
R: [54, 64, 56] L: [55, 83, 71]
R: [55, 65, 57] L: [56, 83, 71]
R: [55, 68, 56] L: [57, 85, 71]
R: [54, 67, 58] L: [55, 82, 71]
R: [52, 64, 54] L: [55, 82, 72]
